Problem Name,Difficulty,Source Sheets,Link,Acceptance Rate
Best Time to Buy and Sell Stock,Easy,neetcode150; blind75; grind75,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,N/A
Bitwise OR of Even Numbers in an Array,Easy,leetcode-top-150,https://leetcode.com/problems/bitwise-or-of-even-numbers-in-an-array/,84.7%
Compute Alternating Sum,Easy,leetcode-top-150,https://leetcode.com/problems/compute-alternating-sum/,89.6%
Compute Decimal Representation,Easy,leetcode-top-150,https://leetcode.com/problems/compute-decimal-representation/,64.5%
Contains Duplicate,Easy,neetcode150; blind75; grind75,https://leetcode.com/problems/contains-duplicate/,N/A
Count Dominant Indices,Easy,leetcode-top-150,https://leetcode.com/problems/count-dominant-indices/,65.5%
Earliest Time to Finish One Task,Easy,leetcode-top-150,https://leetcode.com/problems/earliest-time-to-finish-one-task/,84.3%
Find Missing Elements,Easy,leetcode-top-150,https://leetcode.com/problems/find-missing-elements/,82.8%
Find The Least Frequent Digit,Easy,leetcode-top-150,https://leetcode.com/problems/find-the-least-frequent-digit/,69.7%
Find Users with High Token Usage,Easy,leetcode-top-150,https://leetcode.com/problems/find-users-with-high-token-usage/,58.5%
First Bad Version,Easy,grind75,https://leetcode.com/problems/first-bad-version/,N/A
Flood Fill,Easy,grind75,https://leetcode.com/problems/flood-fill/,N/A
Happy Number,Easy,neetcode150,https://leetcode.com/problems/happy-number/,N/A
Last Stone Weight,Easy,neetcode150,https://leetcode.com/problems/last-stone-weight/,N/A
Longest Palindrome,Easy,grind75,https://leetcode.com/problems/longest-palindrome/,N/A
Maximize Expression of Three Elements,Easy,leetcode-top-150,https://leetcode.com/problems/maximize-expression-of-three-elements/,72.3%
Maximize Sum of At Most K Distinct Elements,Easy,leetcode-top-150,https://leetcode.com/problems/maximize-sum-of-at-most-k-distinct-elements/,76.5%
Merge Sorted Array,Easy,striver-a2z,https://leetcode.com/problems/merge-sorted-array/,N/A
Min Cost Climbing Stairs,Easy,neetcode150,https://leetcode.com/problems/min-cost-climbing-stairs/,N/A
Minimum Moves to Equal Array Elements III,Easy,leetcode-top-150,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-iii/,81.1%
Minimum Operations to Equalize Array,Easy,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-equalize-array/,60%
Plus One,Easy,neetcode150,https://leetcode.com/problems/plus-one/,N/A
Ransom Note,Easy,grind75,https://leetcode.com/problems/ransom-note/,N/A
Remove Zeros in Decimal Representation,Easy,leetcode-top-150,https://leetcode.com/problems/remove-zeros-in-decimal-representation/,76.3%
Reverse Letters Then Special Characters in a String,Easy,leetcode-top-150,https://leetcode.com/problems/reverse-letters-then-special-characters-in-a-string/,81.4%
Single Number,Easy,neetcode150,https://leetcode.com/problems/single-number/,N/A
Sum of Elements With Frequency Divisible by K,Easy,leetcode-top-150,https://leetcode.com/problems/sum-of-elements-with-frequency-divisible-by-k/,77.4%
Toggle Light Bulbs,Easy,leetcode-top-150,https://leetcode.com/problems/toggle-light-bulbs/,71.9%
Two Sum,Easy,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/two-sum/,N/A
Valid Anagram,Easy,neetcode150; blind75; grind75,https://leetcode.com/problems/valid-anagram/,N/A
Weighted Word Mapping,Easy,leetcode-top-150,https://leetcode.com/problems/weighted-word-mapping/,84.3%
3Sum,Medium,neetcode150; blind75; grind75,https://leetcode.com/problems/3sum/,N/A
4Sum,Medium,striver-a2z,https://leetcode.com/problems/4sum/,N/A
Add Two Numbers,Medium,neetcode150; striver-a2z,https://leetcode.com/problems/add-two-numbers/,N/A
Best Reachable Tower,Medium,leetcode-top-150,https://leetcode.com/problems/best-reachable-tower/,55.6%
Climbing Stairs II,Medium,leetcode-top-150,https://leetcode.com/problems/climbing-stairs-ii/,64%
Coin Change 2,Medium,neetcode150,https://leetcode.com/problems/coin-change-2/,N/A
Complete Prime Number,Medium,leetcode-top-150,https://leetcode.com/problems/complete-prime-number/,37.2%
Count Bowl Subarrays,Medium,leetcode-top-150,https://leetcode.com/problems/count-bowl-subarrays/,47.8%
Count Caesar Cipher Pairs,Medium,leetcode-top-150,https://leetcode.com/problems/count-caesar-cipher-pairs/,50.8%
Count Distinct Integers After Removing Zeros,Medium,leetcode-top-150,https://leetcode.com/problems/count-distinct-integers-after-removing-zeros/,22.3%
Count Elements With at Least K Greater Values,Medium,leetcode-top-150,https://leetcode.com/problems/count-elements-with-at-least-k-greater-values/,31.1%
Count Inversions,Medium,striver-a2z,https://leetcode.com/problems/count-inversions/,N/A
Count Subarrays With Cost Less Than or Equal to K,Medium,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-cost-less-than-or-equal-to-k/,45.1%
Count Subarrays With Majority Element I,Medium,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-majority-element-i/,65%
Course Schedule II,Medium,neetcode150,https://leetcode.com/problems/course-schedule-ii/,N/A
Design Auction System,Medium,leetcode-top-150,https://leetcode.com/problems/design-auction-system/,41.8%
Design Ride Sharing System,Medium,leetcode-top-150,https://leetcode.com/problems/design-ride-sharing-system/,63.2%
Design Twitter,Medium,neetcode150,https://leetcode.com/problems/design-twitter/,N/A
Detect Squares,Medium,neetcode150,https://leetcode.com/problems/detect-squares/,N/A
Final Element After Subarray Deletions,Medium,leetcode-top-150,https://leetcode.com/problems/final-element-after-subarray-deletions/,39.7%
Find Books with Polarized Opinions,Medium,leetcode-top-150,https://leetcode.com/problems/find-books-with-polarized-opinions/,41.5%
Find Churn Risk Customers,Medium,leetcode-top-150,https://leetcode.com/problems/find-churn-risk-customers/,47.9%
Find Emotionally Consistent Users,Medium,leetcode-top-150,https://leetcode.com/problems/find-emotionally-consistent-users/,52%
Find Golden Hour Customers,Medium,leetcode-top-150,https://leetcode.com/problems/find-golden-hour-customers/,35.1%
Find Loyal Customers,Medium,leetcode-top-150,https://leetcode.com/problems/find-loyal-customers/,61.4%
Find the Duplicate Number,Medium,neetcode150; striver-a2z,https://leetcode.com/problems/find-the-duplicate-number/,N/A
First Element with Unique Frequency,Medium,leetcode-top-150,https://leetcode.com/problems/first-element-with-unique-frequency/,68.6%
Gas Station,Medium,neetcode150,https://leetcode.com/problems/gas-station/,N/A
Group Anagrams,Medium,neetcode150; blind75,https://leetcode.com/problems/group-anagrams/,N/A
House Robber V,Medium,leetcode-top-150,https://leetcode.com/problems/house-robber-v/,52.5%
Interleaving String,Medium,neetcode150,https://leetcode.com/problems/interleaving-string/,N/A
Jump Game II,Medium,neetcode150,https://leetcode.com/problems/jump-game-ii/,N/A
Koko Eating Bananas,Medium,neetcode150,https://leetcode.com/problems/koko-eating-bananas/,N/A
Kth Largest Element in an Array,Medium,neetcode150,https://leetcode.com/problems/kth-largest-element-in-an-array/,N/A
Largest Subarray With Zero Sum,Medium,striver-a2z,https://leetcode.com/problems/largest-subarray-with-zero-sum/,N/A
Longest Balanced Subarray I,Medium,leetcode-top-150,https://leetcode.com/problems/longest-balanced-subarray-i/,65.7%
Longest Fibonacci Subarray,Medium,leetcode-top-150,https://leetcode.com/problems/longest-fibonacci-subarray/,69.4%
Longest Non-Decreasing Subarray After Replacing at Most One Element,Medium,leetcode-top-150,https://leetcode.com/problems/longest-non-decreasing-subarray-after-replacing-at-most-one-element/,21.3%
Longest Substring Without Repeating Characters,Medium,neetcode150; blind75; grind75,https://leetcode.com/problems/longest-substring-without-repeating-characters/,N/A
LRU Cache,Medium,neetcode150,https://leetcode.com/problems/lru-cache/,N/A
Maximize Points After Choosing K Tasks,Medium,leetcode-top-150,https://leetcode.com/problems/maximize-points-after-choosing-k-tasks/,59.8%
Maximize Sum of Squares of Digits,Medium,leetcode-top-150,https://leetcode.com/problems/maximize-sum-of-squares-of-digits/,59%
Maximum Alternating Sum of Squares,Medium,leetcode-top-150,https://leetcode.com/problems/maximum-alternating-sum-of-squares/,61%
Maximum Capacity Within Budget,Medium,leetcode-top-150,https://leetcode.com/problems/maximum-capacity-within-budget/,19.8%
Maximum Product of Three Elements After One Replacement,Medium,leetcode-top-150,https://leetcode.com/problems/maximum-product-of-three-elements-after-one-replacement/,47%
Maximum Product Subarray,Medium,neetcode150; blind75,https://leetcode.com/problems/maximum-product-subarray/,N/A
Maximum Subarray,Medium,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/maximum-subarray/,N/A
Maximum Sum of Three Numbers Divisible by Three,Medium,leetcode-top-150,https://leetcode.com/problems/maximum-sum-of-three-numbers-divisible-by-three/,47.7%
Maximum Total Subarray Value I,Medium,leetcode-top-150,https://leetcode.com/problems/maximum-total-subarray-value-i/,64.3%
Min Cost to Connect All Points,Medium,neetcode150,https://leetcode.com/problems/min-cost-to-connect-all-points/,N/A
Minimum Cost to Acquire Required Items,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-cost-to-acquire-required-items/,34.7%
Minimum Deletion Cost to Make All Characters Equal,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-deletion-cost-to-make-all-characters-equal/,54.9%
Minimum K to Reduce Array Within Limit,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-k-to-reduce-array-within-limit/,41.2%
Minimum Moves to Balance Circular Array,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-moves-to-balance-circular-array/,40.1%
Minimum Number of Operations to Have Distinct Elements,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-number-of-operations-to-have-distinct-elements/,42%
Minimum Operations to Reach Target Array,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-reach-target-array/,63.1%
Minimum Operations to Transform Array,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-transform-array/,39.3%
Minimum Prefix Removal to Make Array Strictly Increasing,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-prefix-removal-to-make-array-strictly-increasing/,73.6%
Minimum String Length After Balanced Removals,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-string-length-after-balanced-removals/,78.4%
Minimum Subarray Length With Distinct Sum At Least K,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-subarray-length-with-distinct-sum-at-least-k/,31.5%
Minimum Time to Complete All Deliveries,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-time-to-complete-all-deliveries/,34.3%
Multiply Strings,Medium,neetcode150,https://leetcode.com/problems/multiply-strings/,N/A
Number of Centered Subarrays,Medium,leetcode-top-150,https://leetcode.com/problems/number-of-centered-subarrays/,66.8%
Palindrome Partitioning,Medium,neetcode150,https://leetcode.com/problems/palindrome-partitioning/,N/A
Partition Equal Subset Sum,Medium,neetcode150,https://leetcode.com/problems/partition-equal-subset-sum/,N/A
Partition Labels,Medium,neetcode150,https://leetcode.com/problems/partition-labels/,N/A
Pow X N,Medium,neetcode150; striver-a2z,https://leetcode.com/problems/pow-x-n/,N/A
Product of Array Except Self,Medium,neetcode150; blind75; grind75,https://leetcode.com/problems/product-of-array-except-self/,N/A
Redundant Connection,Medium,neetcode150,https://leetcode.com/problems/redundant-connection/,N/A
Reverse Integer,Medium,neetcode150,https://leetcode.com/problems/reverse-integer/,N/A
Rotate List,Medium,striver-a2z,https://leetcode.com/problems/rotate-list/,N/A
Rotate Non Negative Elements,Medium,leetcode-top-150,https://leetcode.com/problems/rotate-non-negative-elements/,47.7%
Split Array With Minimum Difference,Medium,leetcode-top-150,https://leetcode.com/problems/split-array-with-minimum-difference/,33.5%
Stable Subarrays With Equal Boundary and Interior Sum,Medium,leetcode-top-150,https://leetcode.com/problems/stable-subarrays-with-equal-boundary-and-interior-sum/,25.9%
Subsets II,Medium,neetcode150,https://leetcode.com/problems/subsets-ii/,N/A
Surrounded Regions,Medium,neetcode150,https://leetcode.com/problems/surrounded-regions/,N/A
Target Sum,Medium,neetcode150,https://leetcode.com/problems/target-sum/,N/A
Task Scheduler,Medium,neetcode150,https://leetcode.com/problems/task-scheduler/,N/A
Top K Frequent Elements,Medium,neetcode150; blind75,https://leetcode.com/problems/top-k-frequent-elements/,N/A
Two Sum II - Input Array Is Sorted,Medium,neetcode150,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,N/A
Alien Dictionary,Hard,neetcode150; blind75,https://leetcode.com/problems/alien-dictionary/,N/A
Burst Balloons,Hard,neetcode150,https://leetcode.com/problems/burst-balloons/,N/A
Count Distinct Subarrays Divisible by K in Sorted Array,Hard,leetcode-top-150,https://leetcode.com/problems/count-distinct-subarrays-divisible-by-k-in-sorted-array/,27.3%
Count No-Zero Pairs That Sum to N,Hard,leetcode-top-150,https://leetcode.com/problems/count-no-zero-pairs-that-sum-to-n/,14.2%
Count Stable Subarrays,Hard,leetcode-top-150,https://leetcode.com/problems/count-stable-subarrays/,32.1%
Count Subarrays With Majority Element II,Hard,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-majority-element-ii/,44.2%
Count Ways to Choose Coprime Integers from Rows,Hard,leetcode-top-150,https://leetcode.com/problems/count-ways-to-choose-coprime-integers-from-rows/,48.3%
Distinct Subsequences,Hard,neetcode150,https://leetcode.com/problems/distinct-subsequences/,N/A
Find Zombie Sessions,Hard,leetcode-top-150,https://leetcode.com/problems/find-zombie-sessions/,48.1%
Last Remaining Integer After Alternating Deletion Operations,Hard,leetcode-top-150,https://leetcode.com/problems/last-remaining-integer-after-alternating-deletion-operations/,48.5%
