Problem Name,Difficulty,Source Sheets,Link,Acceptance Rate
Intersection of Two Linked Lists,Easy,striver-a2z,https://leetcode.com/problems/intersection-of-two-linked-lists/,N/A
Linked List Cycle,Easy,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/linked-list-cycle/,N/A
Merge Two Sorted Lists,Easy,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/merge-two-sorted-lists/,N/A
Middle of the Linked List,Easy,grind75; striver-a2z,https://leetcode.com/problems/middle-of-the-linked-list/,N/A
Palindrome Linked List,Easy,striver-a2z,https://leetcode.com/problems/palindrome-linked-list/,N/A
Reverse Linked List,Easy,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/reverse-linked-list/,N/A
Count Good Nodes in Binary Tree,Medium,neetcode150,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,N/A
Delete Node in a Linked List,Medium,striver-a2z,https://leetcode.com/problems/delete-node-in-a-linked-list/,N/A
Flatten a Multilevel Doubly Linked List,Medium,striver-a2z,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,N/A
Linked List Cycle II,Medium,striver-a2z,https://leetcode.com/problems/linked-list-cycle-ii/,N/A
Pythagorean Distance Nodes in a Tree,Medium,leetcode-top-150,https://leetcode.com/problems/pythagorean-distance-nodes-in-a-tree/,57.6%
Remove Nth Node From End of List,Medium,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,N/A
Reorder List,Medium,neetcode150; blind75,https://leetcode.com/problems/reorder-list/,N/A
Merge k Sorted Lists,Hard,neetcode150; blind75,https://leetcode.com/problems/merge-k-sorted-lists/,N/A
Reverse Nodes in k-Group,Hard,neetcode150; striver-a2z,https://leetcode.com/problems/reverse-nodes-in-k-group/,N/A
