Problem Name,Difficulty,Source Sheets,Link,Acceptance Rate
Equal Score Substrings,Easy,leetcode-top-150,https://leetcode.com/problems/equal-score-substrings/,56.7%
Count Bowl Subarrays,Medium,leetcode-top-150,https://leetcode.com/problems/count-bowl-subarrays/,47.8%
Count Subarrays With Cost Less Than or Equal to K,Medium,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-cost-less-than-or-equal-to-k/,45.1%
Count Subarrays With Majority Element I,Medium,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-majority-element-i/,65%
Distinct Points Reachable After Substring Removal,Medium,leetcode-top-150,https://leetcode.com/problems/distinct-points-reachable-after-substring-removal/,53.7%
Final Element After Subarray Deletions,Medium,leetcode-top-150,https://leetcode.com/problems/final-element-after-subarray-deletions/,39.7%
Largest Prime from Consecutive Prime Sum,Medium,leetcode-top-150,https://leetcode.com/problems/largest-prime-from-consecutive-prime-sum/,38.8%
Largest Subarray With Zero Sum,Medium,striver-a2z,https://leetcode.com/problems/largest-subarray-with-zero-sum/,N/A
Longest Almost-Palindromic Substring,Medium,leetcode-top-150,https://leetcode.com/problems/longest-almost-palindromic-substring/,18.1%
Longest Balanced Subarray I,Medium,leetcode-top-150,https://leetcode.com/problems/longest-balanced-subarray-i/,65.7%
Longest Balanced Substring I,Medium,leetcode-top-150,https://leetcode.com/problems/longest-balanced-substring-i/,69.7%
Longest Balanced Substring II,Medium,leetcode-top-150,https://leetcode.com/problems/longest-balanced-substring-ii/,42.1%
Longest Consecutive Sequence,Medium,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/longest-consecutive-sequence/,N/A
Longest Fibonacci Subarray,Medium,leetcode-top-150,https://leetcode.com/problems/longest-fibonacci-subarray/,69.4%
Longest Non-Decreasing Subarray After Replacing at Most One Element,Medium,leetcode-top-150,https://leetcode.com/problems/longest-non-decreasing-subarray-after-replacing-at-most-one-element/,21.3%
Longest Palindromic Substring,Medium,neetcode150; blind75,https://leetcode.com/problems/longest-palindromic-substring/,N/A
Longest Repeating Character Replacement,Medium,neetcode150; blind75,https://leetcode.com/problems/longest-repeating-character-replacement/,N/A
Longest Substring Without Repeating Characters,Medium,neetcode150; blind75; grind75,https://leetcode.com/problems/longest-substring-without-repeating-characters/,N/A
Maximum Substrings With Distinct Start,Medium,leetcode-top-150,https://leetcode.com/problems/maximum-substrings-with-distinct-start/,91.4%
Maximum Total Subarray Value I,Medium,leetcode-top-150,https://leetcode.com/problems/maximum-total-subarray-value-i/,64.3%
Minimum Subarray Length With Distinct Sum At Least K,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-subarray-length-with-distinct-sum-at-least-k/,31.5%
Number of Centered Subarrays,Medium,leetcode-top-150,https://leetcode.com/problems/number-of-centered-subarrays/,66.8%
Palindromic Substrings,Medium,neetcode150; blind75,https://leetcode.com/problems/palindromic-substrings/,N/A
Remove K-Balanced Substrings,Medium,leetcode-top-150,https://leetcode.com/problems/remove-k-balanced-substrings/,32.4%
Stable Subarrays With Equal Boundary and Interior Sum,Medium,leetcode-top-150,https://leetcode.com/problems/stable-subarrays-with-equal-boundary-and-interior-sum/,25.9%
Count Distinct Subarrays Divisible by K in Sorted Array,Hard,leetcode-top-150,https://leetcode.com/problems/count-distinct-subarrays-divisible-by-k-in-sorted-array/,27.3%
Count Stable Subarrays,Hard,leetcode-top-150,https://leetcode.com/problems/count-stable-subarrays/,32.1%
Count Subarrays With Majority Element II,Hard,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-majority-element-ii/,44.2%
Longest Alternating Subarray After Removing At Most One Element,Hard,leetcode-top-150,https://leetcode.com/problems/longest-alternating-subarray-after-removing-at-most-one-element/,30%
Longest Balanced Subarray II,Hard,leetcode-top-150,https://leetcode.com/problems/longest-balanced-subarray-ii/,33.8%
Maximum Subarray XOR with Bounded Range,Hard,leetcode-top-150,https://leetcode.com/problems/maximum-subarray-xor-with-bounded-range/,25.4%
Maximum Total Subarray Value II,Hard,leetcode-top-150,https://leetcode.com/problems/maximum-total-subarray-value-ii/,21.9%
Minimum Deletions to Make Alternating Substring,Hard,leetcode-top-150,https://leetcode.com/problems/minimum-deletions-to-make-alternating-substring/,44.6%
Minimum Inversion Count in Subarrays of Fixed Length,Hard,leetcode-top-150,https://leetcode.com/problems/minimum-inversion-count-in-subarrays-of-fixed-length/,42.4%
Minimum Operations to Equalize Subarrays,Hard,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-equalize-subarrays/,19.3%
Minimum Window Substring,Hard,neetcode150; blind75,https://leetcode.com/problems/minimum-window-substring/,N/A
Sliding Window Maximum,Hard,neetcode150,https://leetcode.com/problems/sliding-window-maximum/,N/A
