Problem Name,Difficulty,Source Sheets,Link,Acceptance Rate
Count Residue Prefixes,Easy,leetcode-top-150,https://leetcode.com/problems/count-residue-prefixes/,65.3%
Reverse String Prefix,Easy,leetcode-top-150,https://leetcode.com/problems/reverse-string-prefix/,89.4%
Weighted Word Mapping,Easy,leetcode-top-150,https://leetcode.com/problems/weighted-word-mapping/,84.3%
Design Add and Search Words Data Structure,Medium,neetcode150; blind75,https://leetcode.com/problems/design-add-and-search-words-data-structure/,N/A
Implement Trie (Prefix Tree),Medium,neetcode150; blind75; grind75,https://leetcode.com/problems/implement-trie-prefix-tree/,N/A
Minimum Prefix Removal to Make Array Strictly Increasing,Medium,leetcode-top-150,https://leetcode.com/problems/minimum-prefix-removal-to-make-array-strictly-increasing/,73.6%
Number of Prefix Connected Groups,Medium,leetcode-top-150,https://leetcode.com/problems/number-of-prefix-connected-groups/,60.7%
Reverse Words With Same Vowel Count,Medium,leetcode-top-150,https://leetcode.com/problems/reverse-words-with-same-vowel-count/,66.5%
Word Squares II,Medium,leetcode-top-150,https://leetcode.com/problems/word-squares-ii/,54.8%
Word Ladder,Hard,neetcode150,https://leetcode.com/problems/word-ladder/,N/A
Word Search II,Hard,neetcode150; blind75,https://leetcode.com/problems/word-search-ii/,N/A
